date,country,cases,deaths,recovered,days_since_10
2020-01-22,es,0,0,0,0
2020-01-23,es,0,0,0,0
2020-01-24,es,0,0,0,0
2020-01-25,es,0,0,0,0
2020-01-26,es,0,0,0,0
2020-01-27,es,0,0,0,0
2020-01-28,es,0,0,0,0
2020-01-29,es,0,0,0,0
2020-01-30,es,0,0,0,0
2020-01-31,es,0,0,0,0
2020-02-01,es,1,0,0,0
2020-02-02,es,1,0,0,0
2020-02-03,es,1,0,0,0
2020-02-04,es,1,0,0,0
2020-02-05,es,1,0,0,0
2020-02-06,es,1,0,0,0
2020-02-07,es,1,0,0,0
2020-02-08,es,1,0,0,0
2020-02-09,es,2,0,0,0
2020-02-10,es,2,0,0,0
2020-02-11,es,2,0,0,0
2020-02-12,es,2,0,0,0
2020-02-13,es,2,0,0,0
2020-02-14,es,2,0,0,0
2020-02-15,es,2,0,2,0
2020-02-16,es,2,0,2,0
2020-02-17,es,2,0,2,0
2020-02-18,es,2,0,2,0
2020-02-19,es,2,0,2,0
2020-02-20,es,2,0,2,0
2020-02-21,es,2,0,2,0
2020-02-22,es,2,0,2,0
2020-02-23,es,2,0,2,0
2020-02-24,es,2,0,2,0
2020-02-25,es,6,0,2,0
2020-02-26,es,13,0,2,1
2020-02-27,es,15,0,2,2
2020-02-28,es,32,0,2,3
2020-02-29,es,45,0,2,4
2020-03-01,es,84,0,2,5
2020-03-02,es,120,0,2,6
2020-03-03,es,165,1,2,7
2020-03-04,es,222,2,2,8
2020-03-05,es,259,3,2,9
2020-03-06,es,400,5,2,10
2020-03-07,es,500,10,30,11
2020-03-08,es,673,17,30,12
2020-03-09,es,1073,28,32,13
2020-03-10,es,1695,35,32,14
2020-03-11,es,2277,54,183,15
2020-03-12,es,2277,55,183,16
2020-03-13,es,5232,133,193,17
2020-03-14,es,6391,195,517,18
2020-03-15,es,7798,289,517,19
2020-03-16,es,9942,342,530,20
2020-03-17,es,11748,533,1028,21
2020-03-18,es,13910,623,1081,22
2020-03-19,es,17963,830,1107,23
2020-03-20,es,20410,1043,1588,24
2020-03-21,es,25374,1375,2125,25
