date,country,cases,deaths,recovered,days_since_10
2020-03-01,ie,1,0,0,0
2020-03-02,ie,1,0,0,0
2020-03-03,ie,2,0,0,0
2020-03-04,ie,6,0,0,0
2020-03-05,ie,13,0,0,1
2020-03-06,ie,18,0,0,2
2020-03-07,ie,19,0,0,3
2020-03-08,ie,21,0,0,4
2020-03-09,ie,24,0,0,5
2020-03-10,ie,34,0,0,6
2020-03-11,ie,43,1,0,7
2020-03-12,ie,70,1,0,8
2020-03-13,ie,90,1,0,9
2020-03-14,ie,129,2,0,10
2020-03-15,ie,169,2,0,11
2020-03-16,ie,223,2,0,12
2020-03-17,ie,292,2,5,13
2020-03-18,ie,366,2,5,14
2020-03-19,ie,557,3,5,15
2020-03-20,ie,683,3,5,16
2020-03-21,ie,785,3,5,17
2020-03-22,ie,906,4,5,18
2020-03-23,ie,1125,6,5,19
2020-03-24,ie,1329,7,5,20
