date,country,cases,deaths,recovered,days_since_10
2020-01-22,it,0,0,0,0
2020-01-23,it,0,0,0,0
2020-01-24,it,0,0,0,0
2020-01-25,it,0,0,0,0
2020-01-26,it,0,0,0,0
2020-01-27,it,0,0,0,0
2020-01-28,it,0,0,0,0
2020-01-29,it,0,0,0,0
2020-01-30,it,0,0,0,0
2020-01-31,it,2,0,0,0
2020-02-01,it,2,0,0,0
2020-02-02,it,2,0,0,0
2020-02-03,it,2,0,0,0
2020-02-04,it,2,0,0,0
2020-02-05,it,2,0,0,0
2020-02-06,it,2,0,0,0
2020-02-07,it,3,0,0,0
2020-02-08,it,3,0,0,0
2020-02-09,it,3,0,0,0
2020-02-10,it,3,0,0,0
2020-02-11,it,3,0,0,0
2020-02-12,it,3,0,0,0
2020-02-13,it,3,0,0,0
2020-02-14,it,3,0,0,0
2020-02-15,it,3,0,0,0
2020-02-16,it,3,0,0,0
2020-02-17,it,3,0,0,0
2020-02-18,it,3,0,0,0
2020-02-19,it,3,0,0,0
2020-02-20,it,3,0,0,0
2020-02-21,it,20,1,0,1
2020-02-22,it,62,2,1,2
2020-02-23,it,155,3,2,3
2020-02-24,it,229,7,1,4
2020-02-25,it,322,10,1,5
2020-02-26,it,453,12,3,6
2020-02-27,it,655,17,45,7
2020-02-28,it,888,21,46,8
2020-02-29,it,1128,29,46,9
2020-03-01,it,1694,34,83,10
2020-03-02,it,2036,52,149,11
2020-03-03,it,2502,79,160,12
2020-03-04,it,3089,107,276,13
2020-03-05,it,3858,148,414,14
2020-03-06,it,4636,197,523,15
2020-03-07,it,5883,233,589,16
2020-03-08,it,7375,366,622,17
2020-03-09,it,9172,463,724,18
2020-03-10,it,10149,631,724,19
2020-03-11,it,12462,827,1045,20
2020-03-12,it,12462,827,1045,21
2020-03-13,it,17660,1266,1439,22
2020-03-14,it,21157,1441,1966,23
2020-03-15,it,24747,1809,2335,24
2020-03-16,it,27980,2158,2749,25
2020-03-17,it,31506,2503,2941,26
2020-03-18,it,35713,2978,4025,27
2020-03-19,it,41035,3405,4440,28
2020-03-20,it,47021,4032,4440,29
2020-03-21,it,53578,4825,6072,30
2020-03-22,it,59138,5476,7024,31
2020-03-23,it,59138,5476,7024,32
